StudyDesign,Population,Outcome
"['{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract describes an original research study on the measurement of optokinetic nystagmus for otoneurological diagnosis, rather than a review of existing literature."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract describes an original study where the authors recorded and measured optokinetic nystagmus in 101 subjects, comprising six diagnostic categories. There is no mention of combining or analyzing data from multiple studies to draw conclusions, which is typical of a meta-analysis."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract describes a study with specific methodology and results, indicating that it is a research article rather than an editorial."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not indicate that the paper is from a conference proceedings. It appears to be an original research article, as evidenced by its structured format and the presence of an abstract."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is an original research article, as it presents the results of a study and discusses its implications. The structure and content of the abstract are also consistent with those typically found in research articles.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The provided text is a summary of a research study (abstract), but it does not contain the full content of the paper.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The title of the abstract is \'Measurement of optokinetic nystagmus for otoneurological diagnosis\', which suggests that the paper may be written in a language other than English, French, or German. The presence of technical terms like \'optokinetic nystagmus\' and \'otoneurological diagnosis\' also implies that the paper is likely to be written in a scientific or medical context, where English is often used as the primary language for international communication.""}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that the study was conducted on 101 subjects, which implies that they are human patients. Additionally, it is stated that these subjects were screened for otologic disease and had various types of lesions or diseases, indicating that they are adults."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract mentions \'chronic unilateral labyrinthectomy\' and \'unilateral Menière\'s disease\', which are conditions related to the vestibular system. Additionally, it talks about \'otoneurological diagnosis\', which implies the use of various tests including those for the vestibular system."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract mentions \'chronic unilateral labyrinthectomy\' and \'unilateral Menière\'s disease\', which are conditions related to the vestibular system. Therefore, it can be inferred that the population of this research is related to unilateral vestibular dysfunction.""}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'chronic unilateral labyrinthectomy\', \'unilateral Menière\'s disease\', and \'brainstem-cerebellar syndrome\' which implies chronic or persistent symptoms."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. The study focuses on the measurement of optokinetic nystagmus for otoneurological diagnosis."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'chronic unilateral labyrinthectomy\' which implies a duration of symptoms that is more than 3 months."" \n\n}']"
"['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'reviewing the literature\', which indicates that the article is a review of existing literature on the topic, rather than an original research study.""}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention any statistical analysis of multiple studies, which is typical in meta-analyses. It appears to be a case report or a review article discussing the clinical presentation and management of a specific condition.""}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract describes a specific case study and discusses the clinical aspects of a disease, which is typical of a research article rather than an editorial. An editorial would typically provide a broader perspective or opinion on a topic, often without referencing a specific case.""}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not indicate that the paper is from a conference proceedings. It appears to be an original research article, as indicated by the title and abstract format."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract is short and concise, suggesting it\'s an abstract of a case report or a brief communication, which are often published as letters to the editor in medical journals.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The provided text is a summary of a research article (abstract), but it does not contain the full content of the paper.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The title of the abstract mentions \'CML\' which is an abbreviation commonly used in medical literature. However, the full form of CML is not mentioned in the title. The full form of CML is Chronic Myeloid Leukemia. This suggests that the paper may be written in a language other than English, French and German.""}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions a 50-year-old male patient, indicating that the study involves human patients above the age of 18."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not provide information about vestibular testing methods used in this case. It only mentions vertigo and nausea as symptoms."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'unilateral sudden hearing loss\' and \'vertigo\', which are symptoms related to unilateral vestibular hypofunction. The condition described in the abstract, Chronic Myeloid Leukemia (CML), is also associated with vertigo as a symptom."" \n\n}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'sudden hearing loss\' which implies a transient event. However, it also mentions \'chronic myeloid leukemia (CML)\' which is a chronic condition. Furthermore, the symptoms described such as unilateral sudden hearing loss and vertigo are mentioned in association with CML, implying that these symptoms may be persistent or recurrent in nature."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention the use of any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale in the case description. It only mentions clinical and radiological aspects."" }', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract mentions that the patient\'s first signs and symptoms were unilateral sudden hearing loss, which typically implies a short-term or acute condition. However, it does not explicitly state that the duration of symptoms was more than 3 months."" }']"
"['{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes an original study with specific aims and results, indicating that it is not a review article."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes an observational study with a specific patient population and outcome measures, but does not mention the synthesis of results from multiple studies, which is typical for a meta-analysis.""}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes a study and its findings, indicating that the paper is likely a research article rather than an editorial.""}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not indicate that the study was presented at a conference. It appears to be an original research article, likely published in a peer-reviewed journal."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is an original research study with a clear objective and methodology, which is not typical of letters to the editor. The abstract also mentions a specific number of patients (45) and outcomes, indicating a more comprehensive investigation.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The provided text appears to be an abstract of a research paper, as it summarizes the main findings and purpose of the study without providing detailed information or data.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The title of the abstract contains words like \'Vestibular neuritis\', \'Ménière\'s disease\' which are not typically found in English, French or German medical literature. The use of these terms suggests that the paper is written in a language other than English, French or German.""}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that 45 patients visited the emergency department with isolated acute spontaneous vertigo, indicating that the study involved adult humans."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that among patients with clinically suspected vestibular neuritis showing normal caloric response."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'vestibular neuritis\', which is a condition related to unilateral vestibular dysfunction, and also discusses the final diagnoses of patients with clinically suspected vestibular neuritis showing normal caloric response. The study also uses terms like \'mild unilateral vestibular deficit\' which further supports this connection."" \n\n}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions patients who developed definitive spontaneous vertigo lasting longer than 20min again after discharge from hospital (6 patients), recurrent episodic vertigo without any documented hearing loss or auditory symptoms (9 patients), and positional vertigo and nystagmus on the second hospital day (4 patients). These indicate chronic, persistent, or enduring symptoms.""}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention the use of any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale in this study."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract mentions that the follow-up period was between 7-92 months, but it does not specifically state that the duration of symptoms was more than 3 months."" \n\n}']"
"['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'a case report and literature review\', which indicates that the article includes both a specific case study and an overview of existing research on the topic, characteristic of a review article."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention any statistical analysis of multiple studies, which is typical in meta-analyses. It appears to be a case report with a literature review.""}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract describes a case report and literature review, which suggests that the paper is presenting original research rather than providing an opinion or commentary on existing work."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not indicate that the paper is from a conference proceedings. It appears to be an original research article with a case report and literature review, which is typical of journal articles.""}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is a case report and literature review, which typically takes the form of an original article rather than a letter to the editor.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The provided text is a summary of the content (abstract) and does not include any detailed information, results, or discussion typical of a full research article.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The title of the paper mentions \'syndrome\' which is a term commonly used in medical literature. However, the abstract does not provide any information about the language of the original publication.""}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions a patient with closed head trauma who developed unilateral auditory symptoms, indicating that the study involves human patients above the age of 18."" \n\n}', '{\n\n  ""answer"": ""No"",\n  ""reason"": ""The abstract does not mention vestibular testing methods such as caloric test, rotatory chair test or video head impulse test. It only mentions auditory symptoms and the use of high-resolution computed tomography images to confirm bilateral SSCD."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'vestibular symptoms\' as part of the Superior Semicircular Canal Dehiscence (SSCD) syndrome, which is a condition affecting the balance and hearing system. This suggests that the population of this research may be related to unilateral vestibular dysfunction or other similar conditions.""}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'a spectrum of auditory and vestibular symptoms\' which implies that the symptoms are not transient but rather persistent or enduring. Furthermore, it is stated that the patient was provided with a monaural hearing aid, suggesting that the symptoms were significant enough to warrant ongoing management."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention the use of any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale in the reported case. It only mentions that high-resolution computed tomography images were obtained and a monaural hearing aid was provided."" }', '{\n\n""answer"": ""Unknown"",\n""reason"": ""The abstract does not provide information about the duration of symptoms, only mentioning that a patient developed unilateral auditory symptoms after closed head trauma."" \n\n}']"
"['{\n\n""answer"": ""No"",\n""reason"": ""The abstract appears to be from an original research study rather than a review article. The text mentions a specific study design (retrospective cohort study), outcomes, and statistical analysis, which are typical features of primary research articles."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes a retrospective cohort study and does not mention any meta-analysis techniques such as combining results from multiple studies, statistical pooling, or qualitative synthesis."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes a study and its findings, indicating that it is a research article rather than an editorial.""}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not indicate that the study was presented at a conference. It appears to be an original research article, possibly published in a peer-reviewed journal."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is an original research study with a clear objective and methodology, which is typical of full-length articles rather than letters to the editor.""}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract contains a summary of the research question, methods, results, and conclusions, indicating that it is not just an abstract but rather a complete abstract with some details about the study."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'Italian\' as one of the languages in which the title is written."" \n\n}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that the study included 113 patients with a diagnosis of unilateral posterior BPPV, aged 22 to 85 years."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention any vestibular testing methods such as caloric test, rotatory chair test, or video head impulse test. It only talks about the Semont manoeuvre and Dix-Hallpike manoeuvre for diagnosing BPPV."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'Benign paroxysmal positional vertigo (BPPV)\', which is a type of unilateral vestibular dysfunction. The research focuses on patients with diagnosis of unilateral posterior BPPV, indicating that the population is related to unilateral vestibulopathy.""}']","['{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes a study investigating the outcome of a treatment (Semont manoeuvre) for Benign Paroxysmal Positional Vertigo (BPPV), and mentions that some patients experienced vertigo in the final sitting position of the SM, but does not indicate any chronic or persistent symptoms. The focus is on the prognostic value of this symptom rather than its duration.""}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention the use of any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale in this study."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention the duration of symptoms being more or less than 3 months. It only mentions that patients were controlled 3 to 5 days later by means of an additional Dix-Hallpike manoeuvre, but it does not provide information about the duration of their symptoms before the Semont manoeuvre."" \n\n}']"
"['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract describes a series of cases and discusses their unusual characteristics, which is typical of a case report or a review article. The title also mentions \'cases\' rather than \'case\', suggesting that it may be a collection of multiple cases being reviewed.""}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention any statistical analysis of multiple studies, which is typical in meta-analyses. It also does not provide an overview or synthesis of the results from several studies, but rather presents four unusual cases of delayed endolymphatic hydrops."" }', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract describes a series of case studies and presents specific clinical histories and test results, which is typical of a research article rather than an editorial. The tone is also informative and objective, suggesting that the purpose is to present new information or findings rather than to express an opinion or make a point."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not indicate that the paper is from a conference proceedings. It appears to be an original research article, as evidenced by its structured format and the presentation of case studies."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract is short and concise, suggesting it\'s an introduction to a case report. The title \'Unusual cases of delayed endolymphatic hydrops\' also implies that the content will be brief and focused on specific examples, which is typical for letters to editors or case reports."" }', '{\n\n""answer"": ""Yes"",\n""reason"": ""The provided text is a summary of the main points in a research article, typically referred to as an abstract.""}', '{\n\n""answer"": ""No"",\n""reason"": ""The title and abstract suggest that the paper is a medical literature review article in English, as indicated by the use of standard English phrases such as \'Unusual cases\', \'clinical features\', and \'significant tests\'."" \n\n}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions a series of 16 examined between the years 1993 and 2005, which implies that the study involved adult humans."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'vestibular symptoms\' which suggests that some form of vestibular testing was likely performed on the patients in this study."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions Ménière\'s disease, which is a condition affecting the inner ear and causing symptoms such as vertigo, hearing loss, and tinnitus. The population of this research likely includes individuals with unilateral vestibular dysfunction or other related conditions."" }']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'delayed endolymphatic hydrops\', which is a condition that can cause persistent hearing loss and vestibular symptoms. The cases described in the paper also suggest that this condition may be recurrent or permanent, as it affects both ears and causes significant symptoms."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention the use of any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale in the description of the four cases."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that the cases were selected from a series of 16 examined between the years 1993 and 2005, which implies that the duration of symptoms was indeed more than 3 months."" \n\n}']"
"['{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The given text appears to be an abstract of a research study rather than a review article. It presents the background, hypothesis, methods, results, and conclusions of a specific study on temporohyoid osteoarthropathy in horses."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes a prospective study with specific methods and results, indicating that it is an original research article rather than a meta-analysis."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract contains specific details about a study, including the methods and results, which is typical of research articles rather than editorials."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not indicate that it is a conference proceedings. It has a formal title, background, hypothesis/objectives, animals, methods, results, and conclusions format which suggests a journal article."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is an original research article with a clear hypothesis, methods, results, and conclusions, which is typical of full-length articles in medical journals. The structure and content of the abstract do not match those of a letter to the editor, which usually reports on a brief observation or comment.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The provided text appears to be an abstract of a scientific paper, as it summarizes the background, hypothesis, methods, results, and conclusions of a study without providing detailed information or data.""\n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract contains words like \'Temporohyoid Osteoarthropathy\' which are not typically found in English, French or German medical literature. The use of this specific term suggests that the paper may be written in a language other than these three."" \n\n}']","['{\n\n""answer"": ""No"",\n""reason"": ""The abstract mentions \'horses\' as the subjects of study, indicating that human patients or participants above the age of 18 are not involved in this research."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not mention the use of vestibular testing methods such as caloric test, rotatory chair test, or video head impulse test. It only mentions \'vestibular and facial nerve dysfunction\' as a clinical sign in horses with temporohyoid osteoarthropathy."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'vestibular and facial nerve dysfunction\' which is related to the population of interest.""}']","['{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract mentions that auditory dysfunction appears to be a permanent neurologic deficit in horses diagnosed with THO despite overall neurologic improvement. This suggests that the auditory loss is a chronic and persistent symptom."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not mention any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. It only discusses the use of a brainstem auditory evoked response (BAER) study to assess neurologic function in horses with temporohyoid osteoarthropathy."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not provide information about the duration of symptoms being more or less than 3 months. It only mentions that auditory loss is a common deficit in horses with temporohyoid osteoarthropathy (THO), but it does not specify how long these symptoms have been present."" \n\n}']"
"['{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes an original research study evaluating the effectiveness of trunk sway measures in identifying balance disorders, rather than a review of existing literature.""}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes an original research study that evaluates the effectiveness of trunk sway measures in identifying balance disorders, rather than a meta-analysis which is a statistical analysis of multiple scientific studies.""}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract describes a research study with specific methods and results, indicating that it is an original research article rather than an editorial."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not indicate that the research was presented at a conference. It appears to be an original research article, possibly published in a peer-reviewed journal."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is an original research article, as it presents the results of a study and discusses its implications. The structure and content of the abstract are also consistent with those of a research article rather than a letter to editors.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The provided text is a summary of a research study (abstract), but it does not contain the full content of the paper, such as introduction, methods, results, and discussion.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract contains technical terms and jargon that suggest the authors are writing in a specialized field of medicine, possibly using terminology specific to their native language. The use of phrases like \'sudden unilateral vestibular loss (UVL)\' and \'cerebellar-pontine-angle-tumour (CPAT)\' suggests that the paper may not be written in English, French, or German.""}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that the study included 15 patients with a well-defined acute balance deficit (sudden unilateral vestibular loss), 26 patients with less severe chronic balance problems caused by a cerebellar-pontine-angle-tumour, and 88 age- and sex-matched healthy subjects. This implies that all these participants are above the age of 18."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not mention the use of vestibular testing methods such as caloric tests, rotatory chair tests, or video head impulse tests. It only discusses trunk sway measures during clinical balance tests and their sensitivity in identifying a balance disorder."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract explicitly mentions \'a well defined acute balance deficit (sudden unilateral vestibular loss (UVL))\' and compares it with patients having a cerebellar-pontine-angle-tumour, which indicates that the population of this research is indeed related to unilateral vestibular hypofunction."" \n\n}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions patients with a cerebellar-pontine-angle-tumour (CPAT) prior to surgery, which implies that these patients have a chronic condition. Additionally, the paper compares the test results of CPAT patients with those of healthy subjects, suggesting that the symptoms or signs associated with CPAT are persistent or enduring.""}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. It focuses on the use of a body-worn apparatus to measure trunk angular velocities in the roll and pitch planes during various clinical balance tasks."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract mentions that the patients with a cerebellar-pontine-angle-tumour (CPAT) had chronic balance problems, but it does not specify if their symptoms lasted for more than 3 months."" \n\n}']"
"['{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract describes an original study investigating the effects of prosthetic biofeedback on balance control, rather than a review of existing literature."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract describes an original study investigating the effects of prosthetic biofeedback on balance control, rather than a review or synthesis of multiple studies."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract describes a study with specific methodology and results, indicating that it is a research article rather than an editorial."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not indicate that it is a conference proceedings. It appears to be an original research article, as evidenced by the presence of an abstract and the fact that it reports on a specific study."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract suggests that the study is investigating a specific research question and presents results, which is typical of an original research article rather than a letter to the editor. Letters to the editor are usually shorter, more opinion-based, and do not present new data or research findings."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The provided text is a summary of a research study and does not contain any original data or results, which suggests that it is an abstract."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The title of the abstract does not appear to be in English, French or German. The words \'Improving impaired balance function\' suggest that the original language may have been another language."" \n\n}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that 12 healthy older adults and 7 uncompensated unilateral vestibular loss patients were tested, indicating that human patients above the age of 18 are indeed mentioned in this paper."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not mention any vestibular testing methods. It only mentions that the participants had \'uncompensated unilateral vestibular loss\' but does not specify how this was diagnosed or tested."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract mentions that the study included \'7 uncompensated unilateral vestibular loss patients\'."" \n\n}']","['{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract mentions \'uncompensated unilateral vestibular loss patients\', which implies a chronic condition that has not been compensated for. Additionally, the study aims to improve impaired balance function in these patients, suggesting that their symptoms are persistent."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not mention the use of any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. The study focuses on objective measures like trunk angular sway and balance control tasks."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract mentions \'uncompensated unilateral vestibular loss patients\', but does not specify the duration of their symptoms. It only states that they are uncompensated, implying that their symptoms have not compensated or adapted to the loss.""}']"
"['{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes an original research study with specific methods and results, indicating that it is not a review article.""\n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes an original study with specific methods and results, indicating that it is not a meta-analysis which typically synthesizes data from multiple studies to draw broader conclusions."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes a research study with specific methods and results, indicating that it is an original research article rather than an editorial."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not indicate that it is a conference proceedings. It appears to be an original research article, as evidenced by the presence of a structured abstract and the discussion of methodology, results, and conclusions."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is an original research article with its own methods and results, rather than a short communication or letter to the editor.""}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract provides a clear background, methods, results, and conclusions, indicating that the full text of the paper is available.""\n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The title of the abstract contains words like \'Vestibular\', \'Peripheral\' which are not typically found in languages other than English. However, the most telling sign is that the abstract does not contain any non-English words or phrases that would be characteristic of French or German scientific writing."" \n\n}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'26 patients\' and \'at onset of aUPVD, and 3, 6 and 13 weeks later\', indicating that the study involves adult human subjects."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""According to the abstract, the study used rotating chair (ROT) tests and caloric tests with bithermal water irrigation of the external auditory meatus as vestubular testing methods."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract explicitly mentions \'acute unilateral peripheral vestibular deficit\' (aUPVD), which is a condition related to the loss of function in one side of the vestibular system. This suggests that the population of this research is indeed related to unilateral vestibular loss or other similar conditions.""}']","['{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes a study on the recovery times of stance and gait balance control after an acute unilateral peripheral vestibular deficit. It mentions that patients have balance deficits that can improve after several weeks, but it does not mention any chronic or persistent symptoms."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. It focuses on objective measures like balance control and vestibular ocular reflex (VOR) responses."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract mentions examination time points at onset of aUPVD, and 3, 6 and 13 weeks later. There is no indication that the duration of symptoms exceeds 3 months."" \n\n}']"
