StudyDesign,Population,Outcome
"['{\n""answer"": ""No"",\n""reason"": ""The abstract describes an original research study, presenting the results of an experiment and analysis. It does not provide a summary or critique of existing literature, which is characteristic of a review article.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract describes an original study that measures optokinetic nystagmus in different diagnostic categories, but it does not mention combining the results of multiple studies or analyzing existing data. The language used is descriptive and focuses on the methodology and findings of a single study.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract describes a research study that presents original data and findings, which is not typical of editorials. Editorials are opinion-based pieces that provide commentary or perspective on a topic, whereas this paper appears to be a scientific report presenting the results of an experiment.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract does not indicate that the paper is a conference proceeding. The language and structure of the abstract suggest a research article published in a peer-reviewed journal.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract suggests that the study presents original research on the measurement of optokinetic nystagmus for otoneurological diagnosis, which is typical of an article or a full-length publication. The format and content do not resemble those of a letter to editors, which are usually brief, opinion-based, or preliminary reports.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract provides a summary of the study\'s methodology and results, but it does not contain enough information to fully understand the research. The title suggests that the paper is a full-length article presenting original research, which is supported by the presence of specific data and statistical analysis in the abstract.""\n}']","['{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'101 subjects comprising six diagnostic categories\' and later refers to \'patients with chronic peripheral vestibular disease\', indicating that the study involved human participants, specifically adults.""\n}', '{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'optokinetic nystagmus\' (OKN) as a testing method used in the study. OKN is a vestibular testing method that assesses the function of the vestibular system by measuring the slow phase velocity of nystagmus in response to visual stimuli.""\n}', '{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'chronic unilateral labyrinthectomy\' and \'unilateral Menière\'s disease\', which are all related to unilateral vestibular dysfunction or loss. Additionally, the study is focused on measuring optokinetic nystagmus (OKN) in patients with various otoneurological diagnoses, including those with unilateral vestibular lesions.""\n}']","['{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'chronic unilateral labyrinthectomy\', \'unilateral Menière\'s disease\', and \'brainstem- cerebellar syndrome\' which are chronic conditions. Additionally, the paper discusses \'otoneurological diagnosis\' which implies that the study is focused on identifying persistent or enduring symptoms and signs related to these conditions.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract does not mention any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. The study appears to focus on the measurement of optokinetic nystagmus and its relationship to otoneurological diagnosis.""\n}', '{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'chronic unilateral labyrinthectomy\' and \'unilateral Menière\'s disease\', which implies that the patients had symptoms for a duration of more than 3 months.""\n}']"
"['{\n""answer"": ""No"",\n""reason"": ""The abstract suggests that the article presents a case study of a patient with chronic myeloid leukemia who initially presented with unilateral sudden hearing loss and vertigo, rather than being a review article summarizing existing literature on the topic.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract describes a case report of a patient with chronic myeloid leukemia presenting with unilateral sudden hearing loss and vertigo, rather than summarizing the results of multiple studies or analyzing data from existing research.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract describes a case study and discusses the etiopathogenetic mechanisms, clinical and radiological aspects, and therapeutic options for Chronic Myeloid Leukemia with deafness and vertigo. This suggests that the paper is an original research article or a review article, rather than an editorial.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract appears to be a case report or a review article rather than a conference proceeding. The language and structure of the abstract suggest that it is an original research article, which is typically published in a peer-reviewed journal.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract suggests that the paper is presenting a case study of a patient with chronic myeloid leukemia who initially presented with unilateral sudden hearing loss and vertigo, which implies that it\'s an original research article rather than a letter to the editor.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The title and abstract suggest that the paper is a case report or a review article discussing chronic myeloid leukemia (CML) with deafness and vertigo, which implies that there is more to the paper than just an abstract.""\n}']","['{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions a 50-year-old male patient with CML, indicating that the paper discusses human patients above the age of 18.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract does not mention the use of any vestibular testing methods. It only mentions symptoms such as vertigo and nausea, but does not specify how these were evaluated or diagnosed.""\n}', '{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'unilateral sudden hearing loss and vertigo\' as the first signs of chronic myeloid leukemia, which suggests that the population being studied is related to unilateral vestibular dysfunction or disease.""\n}']","['{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'sudden hearing loss\' and \'vertigo\', which are symptoms that can persist or recur. Additionally, the paper describes a patient with chronic myeloid leukemia (CML), which is a type of cancer that typically requires ongoing treatment and management.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract does not mention the use of any specific patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. The focus is on presenting a case study of chronic myeloid leukemia with sudden hearing loss and vertigo, rather than reporting outcomes using standardized patient-reported measures.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract does not specify the duration of symptoms. It only mentions \'sudden\' hearing loss, which implies a short duration.""\n}']"
"['{\n""answer"": ""No"",\n""reason"": ""The abstract describes an original study aimed at investigating the final diagnosis of patients admitted to hospital under the clinical impression of vestibular neuritis, rather than summarizing and synthesizing existing literature. Therefore, it does not appear to be a review article.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract describes a single study investigating the final diagnosis of patients admitted to hospital under the clinical impression of vestibular neuritis, and does not mention combining or synthesizing results from multiple studies. Therefore, it is not a meta-analysis.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract describes a study that aimed to investigate the final diagnosis of patients admitted to hospital under the clinical impression of vestibular neuritis who showed no unilateral caloric paresis. This suggests that the paper is presenting original research, not an editorial.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract does not indicate that the paper is a conference proceeding. It appears to be an original research article, as it presents the results of a study and discusses the findings.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract suggests that the study aimed to investigate the final diagnosis of patients admitted to hospital under the clinical impression of vestibular neuritis, which implies that it is an original research article rather than a letter to the editor. Letters to the editor typically respond to or comment on previously published articles, whereas this paper appears to present new research findings.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract provides a summary of the study\'s findings and conclusions, but it also includes specific details about the methodology, results, and implications of the research. This suggests that the paper is not just an abstract, but rather a full-length article or manuscript.""\n}']","['{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'45 patients who visited the emergency department with isolated acute spontaneous vertigo\' and \'follow-up period (7-92 months)\', indicating that the study involves human patients above the age of 18.""\n}', '{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions the \'unilateral caloric paresis\' which is a type of vestibular testing method.""\n}', '{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'vestibular neuritis\' and \'unilateral caloric paresis\', which are related to unilateral vestibular dysfunction. Additionally, the study discusses various final diagnoses including Ménière\'s disease, benign paroxysmal positional vertigo, and \'mild unilateral vestibular deficit\', all of which are forms of unilateral vestibular dysfunction.""\n}']","['{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'definite Ménière\'s disease\' which is a chronic condition characterized by recurring episodes of vertigo, hearing loss, and tinnitus. Additionally, the paper also describes patients with \'possible Ménière\'s disease\', which implies that these patients may experience recurrent or persistent symptoms. Furthermore, the abstract also mentions \'recurrent episodic vertigo\' and \'revisited our clinic with recurrent episodic vertigo\', indicating that some patients experienced chronic or recurring symptoms.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract does not mention any specific patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. The study appears to focus on clinical and laboratory findings, including caloric tests, and does not report the use of standardized patient-reported outcome measures.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract mentions that the patients had \'isolated acute spontaneous vertigo\' and that some patients developed recurrent episodic vertigo, but it does not mention a duration of symptoms exceeding 3 months.""\n}']"
"['{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions a case report and literature review, indicating that the article is a combination of a clinical presentation and an analysis of existing research on the topic.""}', '{\n""answer"": ""No"",\n""reason"": ""The abstract does not mention a systematic review of existing studies or a quantitative analysis of multiple studies. Instead, it appears to be a case report and literature review on a specific topic (Traumatic superior semicircular canal dehiscence syndrome). The paper seems to focus on presenting a single patient\'s experience and discussing the relevant literature rather than synthesizing data from multiple studies.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract describes a case report and literature review, which suggests that the paper is an original research article rather than an editorial.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract does not indicate that the paper is a conference proceeding. The language and structure of the abstract suggest a regular research article, which is typical in medical literature.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract suggests that the authors are presenting a case report and literature review, which is typical of an original research article. The tone and content do not suggest a letter to the editor, which would typically be a brief response or comment on a previously published paper.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract provides a summary of the case report and literature review, but it does not contain enough information to be considered an abstract-only paper. The abstract mentions specific details about the patient\'s condition, treatment, and outcome, which suggests that the full paper likely includes more in-depth information and data.""\n}']","['{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions a patient with a closed head trauma who developed unilateral auditory symptoms, indicating that the paper reports on a human participant above the age of 18.""\n}', '{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'auditory and vestibular symptoms\', which suggests that some form of vestibular testing was likely performed to assess the patient\'s balance and equilibrium. Although specific tests are not mentioned in the abstract, it is common for papers reporting on vestibular disorders to include information about the vestibular tests used.""\n}', '{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'unilateral auditory symptoms\' and \'superior semicircular canal dehiscence (SSCD) syndrome\', which suggests a relationship to unilateral vestibular dysfunction or loss, as SSCD is often associated with vestibular symptoms.""\n}']","['{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'a spectrum of auditory and vestibular symptoms\' which suggests that the symptoms are persistent or enduring. Additionally, the paper reports a patient with \'unilateral auditory symptoms\' which implies that the symptoms are chronic.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract does not mention the use of any specific patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. The focus is on describing the case report and literature review related to Traumatic Superior Semicircular Canal Dehiscence Syndrome.""\n}', '{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that the patient developed unilateral auditory symptoms after a closed head trauma, but it does not specify the exact duration of these symptoms. However, since SSCD syndrome is typically characterized by persistent symptoms lasting more than 3 months, it can be inferred that the patient\'s symptoms likely lasted longer than 3 months.""\n}']"
"['{\n""answer"": ""No"",\n""reason"": ""The abstract describes a retrospective cohort study investigating the possibility of considering vertigo in the final sitting position of the Semont manoeuvre as a prognostic symptom in the outcome of posterior BPPV. This suggests that it is an original research article, not a review article.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract describes a retrospective cohort study, not a meta-analysis. The study investigates the relationship between vertigo in the final sitting position of the Semont manoeuvre and the outcome of posterior BPPV, but it does not combine or synthesize data from multiple studies.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract describes a retrospective cohort study investigating the relationship between vertigo in the final sitting position of the Semont manoeuvre and the outcome of posterior BPPV. This suggests that the paper is presenting original research rather than an opinion piece or editorial.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract does not contain any information about the paper being presented at a conference. It appears to be a regular research article, as it includes a retrospective cohort study and discusses the results in detail.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is a retrospective cohort study investigating the possibility of considering vertigo in the final sitting position of the Semont manoeuvre as a prognostic symptom in the outcome of posterior BPPV. The format and content do not resemble those typically found in letters to editors, which are usually brief, opinion-based, or case reports.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract provides a summary of the study\'s purpose, methods, and findings, indicating that it is not just an abstract-only paper. The abstract mentions specific data and outcomes, suggesting that the full text of the paper would provide more detailed information on the study\'s methodology and results.""\n}']","['{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'One hundred and thirteen patients with diagnosis of unilateral posterior BPPV were taking into account in our retrospective cohort study: 41 men and 72 women, aged 22 to 85 years.\' This indicates that the paper involves human patients or participants above the age of 18.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract does not mention the use of any vestibular testing methods. It only mentions the Dix-Hallpike manoeuvre as a method to control the outcome of the disease after the Semont manoeuvre.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract does not mention any of the specified conditions related to unilateral vestibular dysfunction. The study is about benign paroxysmal positional vertigo (BPPV) and its outcome after a repositioning maneuver, specifically the Semont maneuver.""\n}']","['{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'vertigo returning to the sitting position\' which suggests a persistent or enduring symptom. Additionally, it describes patients who did not completely recover from BPPV (Benign Paroxysmal Positional Vertigo), implying that some symptoms may persist.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract does not mention any specific patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. The study appears to focus on the Semont manoeuvre and its relationship to the outcome of benign paroxysmal positional vertigo (BPPV), without mentioning any standardized patient-reported outcomes measures.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract does not mention the duration of symptoms being more than 3 months. In fact, it only mentions the age range of patients (22-85 years), but not the duration of their symptoms.""\n}']"
"['{\n""answer"": ""No"",\n""reason"": ""The abstract suggests that the report is about four specific cases of delayed endolymphatic hydrops, rather than a comprehensive review of existing literature on the topic.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract does not mention a systematic review of existing studies or a quantitative analysis of the results. Instead, it appears to be a case series report, presenting four individual cases with unusual characteristics.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract describes a specific study with case reports and presents findings, which is typical of a research article. The title also suggests a focus on clinical features and test results, rather than providing an opinion or perspective, which is characteristic of an editorial.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is a case report series, not a conference proceeding. The language used is formal and academic, but there is no indication of a conference presentation or publication.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract suggests that the paper is a case report or a study of unusual cases, rather than a letter to editors. The language used is formal and descriptive, indicating a more in-depth analysis of the cases rather than a brief opinion piece.""\n}', '{\n""answer"": ""Yes"",\n""reason"": ""The given title and abstract do not provide any specific data, results, methods, or conclusions. It appears to be a summary of the paper\'s content without providing any actual research findings.""\n}']","['{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions a series of 16 examined cases between 1993 and 2005, which implies that the study involved human patients. Additionally, it is mentioned that the patients had hearing loss and vestibular symptoms, suggesting that they were adults or older children.""\n}', '{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'vestibular symptoms\' which suggests that some form of vestibular testing was likely performed to assess these symptoms. Additionally, the mention of \'better ear and in the ear with severe hearing loss\' implies that some type of bilateral vestibular function assessment may have been conducted.""\n}', '{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'vestibular symptoms\' and \'Ménière\'s disease\', which suggests that the research is related to vestibular function, specifically unilateral vestibular dysfunction.""\n}']","['{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'delayed endolymphatic hydrops\' and \'Ménière\'s disease\', which are chronic conditions characterized by persistent symptoms such as hearing loss, tinnitus, and vertigo. The paper also discusses the clinical features of these cases, suggesting that they experience ongoing or recurring symptoms.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract does not mention the use of any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. The focus is on describing clinical features and test results for four cases of delayed endolymphatic hydrops.""\n}', '{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'delayed endolymphatic hydrops\', which implies that the symptoms have been present for a longer period than usual, and the title specifically highlights \'unusual cases of delayed\' hydrops. This suggests that the duration of symptoms is indeed more than 3 months.""\n}']"
"['{\n""answer"": ""No"",\n""reason"": ""The abstract describes an original study investigating neurologic function in horses with temporohyoid osteoarthropathy, rather than summarizing and synthesizing existing research on the topic. The language used is descriptive of methodology and results, characteristic of a primary research article.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract does not mention combining the results of multiple studies to draw conclusions. Instead, it describes a prospective study with a single group of horses diagnosed with temporohyoid osteoarthropathy (THO). The study aims to investigate neurologic function and anatomical alterations in these horses.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract describes a research study with specific methods, results, and conclusions, which is typical of a scientific article. The title also suggests a research-based paper rather than an opinion piece or editorial.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract does not indicate that the paper is a conference proceeding. The language used suggests a formal research study, and the inclusion of specific statistical methods (Wilcoxon sign test, Fisher\'s exact test) further supports this conclusion.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is a prospective study with specific methods and results, which is typical of an original research article. The title also does not have the characteristic format of a letter to the editor, such as \'Letter to the Editor: [Title]\' or \'[Author], [Year] - Letter to the Editor\'.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract provides a summary of the study\'s background, hypothesis, methods, results, and conclusions. It also includes specific details about the study population, procedures, and findings, indicating that it is not just an abstract but rather a summary of a full research paper.""\n}']","['{\n""answer"": ""No"",\n""reason"": ""The abstract does not mention human patients or participants at all. It only talks about horses with temporohyoid osteoarthropathy, which is a condition specific to equines.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract does not mention the use of any vestibular testing methods. It only mentions \'vestibular and facial nerve dysfunction\' as one of the signs observed in horses with temporohyoid osteoarthropathy, but it does not specify which tests were used to assess these functions.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract does not mention any of the specific terms related to unilateral vestibular dysfunction, such as hypofunction, loss, failure, deafferentation, disease, disorder, or syndrome. The only vestibular-related term mentioned is \'vestibular and facial nerve dysfunction\', which suggests bilateral involvement rather than unilateral.""\n}']","['{\n""answer"": ""Yes"",\n""reason"": ""The abstract states that \'Auditory dysfunction appears to be a permanent neurologic deficit in horses diagnosed with THO despite overall neurologic improvement.\' This suggests that the auditory loss is a chronic and persistent symptom.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract does not mention any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. The study appears to focus on the neurologic deficits and brainstem auditory evoked response in horses with temporohyoid osteoarthropathy, without involving patient-reported outcomes.""\n}', '{\n""answer"": ""Unknown"",\n""reason"": ""The abstract does not explicitly state the duration of symptoms. It only mentions that the study was conducted from 2005 to 2014, but it does not provide information on how long the horses had been experiencing symptoms before being included in the study.""\n}']"
"['{\n""answer"": ""No"",\n""reason"": ""The abstract describes an original research study evaluating the effectiveness of trunk sway measures in detecting balance disorders, rather than summarizing and synthesizing existing literature. The language used is descriptive and presents new findings, which is characteristic of an original research article rather than a review article.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract describes an original research study that evaluates the effectiveness of trunk sway measures in identifying and distinguishing between different types of balance disorders, rather than a meta-analysis which typically combines and analyzes the results of multiple existing studies.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract describes a research study that evaluates the effectiveness of trunk sway measures in identifying patients with balance disorders, which is a typical format for a research article. The language used is formal and objective, indicating that it is not an editorial piece.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is an original research article, not a conference proceeding. The language used is formal and academic, indicating a peer-reviewed publication rather than a conference presentation.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract suggests that the study evaluated trunk sway measures of postural stability during clinical balance tests, which is a typical format for an original research article. The language used in the abstract also indicates that the authors are presenting their own research findings, rather than simply commenting on or responding to another paper.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract provides a summary of the research study, including its objectives, methods, results, and conclusions. It appears to be an abstract from a peer-reviewed journal article or conference proceeding.""\n}']","['{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'15 patients with a well defined acute balance deficit (sudden unilateral vestibular loss (UVL))\' and \'26 patients with less severe chronic balance problems caused by a cerebellar-pontine-angle-tumour (CPAT) prior to surgery\', indicating that the paper involves human participants above the age of 18.""\n}', '{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'sudden unilateral vestibular loss (UVL)\' which suggests that the paper discusses the use of vestibular testing methods to assess balance and equilibrium. Additionally, it specifically mentions a \'unilateral vestibular deficit\' which implies the use of tests such as caloric test or rotatory chair test to evaluate the vestibular system.""\n}', '{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'a unilateral vestibular deficit\' and \'sudden unilateral vestibular loss (UVL)\', which suggests that the population of this research is related to unilateral vestibular dysfunction.""\n}']","['{\n""answer"": ""No"",\n""reason"": ""The abstract describes a study that evaluates the effects of acute vestibular loss on trunk sway measures during clinical balance tests. The patients with chronic balance problems caused by a cerebellar-pontine-angle-tumor (CPAT) are mentioned, but there is no description of any persistent or enduring symptoms, signs, or complaints related to these conditions.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract does not mention any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. The study focuses on measuring trunk sway and angular velocities during clinical balance tests to assess postural stability.""\n}', '{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'chronic balance problems caused by a cerebellar-pontine-angle-tumour (CPAT) prior to surgery\', which implies that the patients had symptoms for more than 3 months.""\n}']"
"['{\n""answer"": ""No"",\n""reason"": ""The abstract describes an original research study investigating the effects of prosthetic biofeedback training on balance control, rather than summarizing and synthesizing existing literature. The language used is descriptive of the methodology and results, characteristic of an original research article.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract describes an original study investigating the effects of prosthetic biofeedback training on balance control in healthy older adults and individuals with vestibular loss. The study presents its own findings, rather than combining and analyzing data from multiple studies.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract describes a study investigating the effects of prosthetic biofeedback on balance control in healthy older adults and individuals with vestibular loss, which is a research article. The title and abstract do not suggest that it is an editorial piece.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract appears to be a research study report, not a conference proceedings. The language and structure suggest a journal article or a peer-reviewed publication.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract suggests that the study investigated the effects of prosthetic biofeedback training on balance control, which is a typical format for an original research article. The title and abstract do not have the characteristics of a letter to editors, such as being brief, informal, or responding to another publication.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract provides a summary of the study\'s methodology, results, and conclusions, indicating that it is not just an abstract-only paper. The abstract mentions specific details about the study design, participant demographics, and outcome measures, suggesting that the full paper likely includes more in-depth information on these topics.""\n}']","['{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'12 healthy older adults\' and \'7 uncompensated unilateral vestibular loss patients\', indicating that the study included human participants above the age of 18.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract does not mention any vestibular testing methods. It only mentions \'uncompensated unilateral vestibular loss patients\', but it does not specify the method used to diagnose or assess their vestibular impairment.""\n}', '{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'7 uncompensated unilateral vestibular loss patients\' which indicates that the population of this research is related to unilateral vestibular loss.""\n}']","['{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'uncompensated unilateral vestibular loss patients\', which implies that these individuals have a persistent or enduring symptom (loss of balance) that has not been compensated for. Additionally, the study aims to investigate whether training with real-time prosthetic biofeedback can improve balance control in these patients, suggesting that the symptoms are chronic or persistent.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract does not mention any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. The study appears to focus on the effects of prosthetic biofeedback training on balance control and trunk angular sway, without reporting any subjective measures of dizziness or vertigo.""\n}', '{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'uncompensated unilateral vestibular loss patients\', which implies that the patients had a duration of symptoms greater than 3 months, as uncompensated vestibular loss typically develops after 3-6 months of symptom onset.""\n}']"
"['{\n""answer"": ""No"",\n""reason"": ""The abstract describes an original research study examining the recovery times of stance and gait balance control after an acute unilateral peripheral vestibular deficit. The study presents its own findings, methods, and results, which are typical characteristics of an original research article rather than a review article.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract describes an original study with its own data collection and analysis, rather than a review of existing studies (meta-analysis). The text mentions specific methods, results, and conclusions, which are typical characteristics of primary research papers.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract describes a research study with methods, results, and conclusions, indicating that it is an original research article rather than an editorial.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is an original research article, not a conference proceeding. The language used is formal and academic, indicating a peer-reviewed publication. Additionally, the abstract presents a comprehensive study with multiple methods and results, which is typical of a journal article.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract suggests that the study is an original research article, with a clear methodology and results section. The language used is formal and academic, indicating a peer-reviewed journal article rather than a letter to the editor.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract provides a clear summary of the study\'s background, methods, results, and conclusions. It also includes specific details about the study design, participant recruitment, data analysis, and findings. This suggests that the paper is not just an abstract, but rather a full research article with a detailed methodology and results section.""\n}']","['{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'26 patients were examined at onset of aUPVD, and 3, 6 and 13 weeks later.\' This indicates that the study involved human patients, specifically those with an acute unilateral peripheral vestibular deficit (aUPVD), who are likely adults or older individuals.""\n}', '{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'caloric tests with bithermal (44 and 30°C) water irrigation of the external auditory meatus\' as one method used to measure vestibular ocular reflex (VOR) function, which is a type of vestibular testing method.""\n}', '{\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'acute unilateral peripheral vestibular deficit (aUPVD)\' which is a type of unilateral vestibular dysfunction. This suggests that the population studied in this research is related to unilateral vestibular loss or failure.""\n}']","['{\n""answer"": ""No"",\n""reason"": ""The abstract describes a study on the recovery times of stance and gait balance control after an acute unilateral peripheral vestibular deficit (aUPVD). The focus is on the improvement rates and time points for normal balance control to be reached, indicating that the symptoms are acute and temporary. There is no mention of chronic or persistent symptoms.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract does not mention any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. The study focuses on objective measures of balance control and vestibular function using gyroscopes and rotating chair tests.""\n}', '{\n""answer"": ""No"",\n""reason"": ""The abstract mentions \'acute unilateral peripheral vestibular deficit (aUPVD) patients\' which implies that the duration of symptoms is less than 3 months, as acute typically refers to a sudden onset or short-term condition.""\n}']"
