,sr,Journal,Citation,Source,f_selection,f_rejection,Type_of_exclusion,reason_for_exclsuion,Comment,final_selection,titles,abstracts,dois
2,3,Ann Otol Rhinol Laryngol Suppl,S. M. Abel and H. O. Barber Measurement of optokinetic nystagmus for otoneurological diagnosis 1981,PubMed,0.0,1.0,Outcome,Not included symptoms,,0.0,Measurement of optokinetic nystagmus for otoneurological diagnosis,"Abstract
Optokinetic nystagmus was recorded and measured in 101 subjects comprising six diagnostic categories: 1) normal, screened for otologic disease, 2) chronic unilateral labyrinthectomy, 3) unilateral Menière's disease, 4) neurologically confirmed focal brainstem lesion, 5) brainstem-cerebellar syndrome, and 6) focal unilateral supratentorial lesion. For the OKN test, each subject looked at a translucent screen onto which a field of parallel black and white bars was back-projected. The array of bars could be projected vertically or horizontally to allow for study of nystagmus beating right and left or up and down. The speed of movement of the bars varied over a range from 20 to 140 degrees/sec of visual angle, in each axis for both directions. An analysis of the slow phase velocity of OKN indicated that patients with brainstem disease produced significantly lower eye speeds than did normal subjects or patients with chronic peripheral vestibular disease. The latter groups could not be distinguished. The responses of patients with cortical lesions fell midway between these two extremes and were significantly different from those of the brainstem group. Directional preponderance of nystagmus proved to be significantly related to the side of lesion for both the labyrinthine and cortical groups. However, the absolute value of the difference in slow phase velocity for nystagmus beating toward or away from the side of lesion was no greater than the difference between right and left-beating nystagmus in normal subjects. While the results provide statistical confirmation for the findings of earlier investigations, it is noted that for purposes of clinical diagnosis, the test is of value only in the context of the otoneurological test battery. Distribution of results for individuals in the various groups overlap considerably. The designation of a numerical cutoff for differential diagnosis leads to error rates far in excess of what may be confidently attributed to chance.",doi: 10.1177/00034894810901s201.
4,5,Eur Arch Otorhinolaryngol,"G. O. Acar, E. Acioğlu, O. Enver, C. Ar and S. Sahin Unilateral sudden hearing loss as the first sign of chronic myeloid leukemia 2007",PubMed,0.0,1.0,Population,,,0.0,Unilateral sudden hearing loss as the first sign of chronic myeloid leukemia,"Abstract
Chronic myeloid leukemia (CML) is one of the etiologic causes of sudden hearing loss and vertigo. However, deafness in association with vestibular symptoms rarely occurs in CML as the first sign. In this article, a 50-year-old male with CML whose first signs and symptoms were unilateral sudden hearing loss and tinnitus in the right ear, vertigo and nausea was presented. Aetiopathogenetic mechanisms, clinical and radiological aspects and therapeutic options for CML with deafness and vertigo were discussed reviewing the literature.",doi: 10.1007/s00405-007-0382-1.
6,7,Rev Laryngol Otol Rhinol (Bord),"W. Adjibabi, F. Avakoudjo, O. Biaou, S. L. Afouda, S. Hounkpatin, S. Alamou, Y. Hounkpe and D. Stoll Seven cases of inverted nasosinusal papilloma treated at Cotonou 2011",PubMed,0.0,1.0,Population,Unilateral nasal obstruction,,0.0,[Seven cases of inverted nasosinusal papilloma treated at Cotonou],"Abstract
Objective: Sinonasal inverted papilloma is a rare benign tumor with a high recurrence rate and potential malignant transformation. The purpose of this study was to analyze the clinical and radiological aspects and to identify the suitable surgical approaches to be used in developing countries.
Methodology: In 3 years, 7 cases have been analyzed in a retrospective study. Patients presented with unilateral nasal obstruction and epitasis, a whitish unilateral polypoid mass, sinonasal opacity with osteolysis on CT scan or on sinus X-ray. Using these data we adopted the Krouse staging which classifies the disease in four stages and accordingly the appropriate surgical approach was used. The diagnosis was confirmed by histological examination of the biopsied specimen.
Results: Average age 48.28 years, predominant sex male. Symptom: unilateral nasal obstruction 5, bilateral nasal obstruction 1, epistaxis 5. The average time-delay before consultation was 73 months. The combined endonasal endoscopic and vestibular was the most commonly used approach (4 cases). The results were satisfying. After a minimal follow up of 2 years, one case of recurrence was detected after 4 years.
Conclusion: CT scan is an essential tool for the diagnosis and detecting the extension of sinonasal inverted papillomas. Better results were obtained with a surgical approach that combined a vestibular approach and an endonasal endoscopic approach in our region.",Not Found
8,9,J Clin Neurosci,"S. H. Ahn, J. E. Shin and C. H. Kim Final diagnosis of patients with clinically suspected vestibular neuritis showing normal caloric response 2017",PubMed,1.0,,,,,0.0,Final diagnosis of patients with clinically suspected vestibular neuritis showing normal caloric response,"Abstract
Vestibular neuritis is one of the most common peripheral causes of acute vestibular syndrome, of which the diagnosis is generally based on a comprehensive interpretation of clinical and laboratory findings following reasonable exclusion of other disorders. This study aimed to investigate the final diagnosis of patients admitted to hospital under the clinical impression of vestibular neuritis who showed no unilateral caloric paresis. Forty-five patients who visited the emergency department with isolated acute spontaneous vertigo were included. Among them, six patients (13%) developed definitive spontaneous vertigo lasting longer than 20min again after discharge from hospital, accompanied by hearing loss, which was audiometrically documented, leading to a final diagnosis of definite Ménière's disease. Nine patients (20%) revisited our clinic with recurrent episodic vertigo without any documented hearing loss or auditory symptoms such as hearing loss, tinnitus or ear fullness, which led to a final diagnosis of possible Ménière's disease. In four patients (9%), initial spontaneous vertigo and nystagmus changed to positional vertigo and nystagmus on the second hospital day. In 26 patients (58%), neither another episode of vertigo nor auditory symptoms developed during follow-up period (7-92months), a condition to which the authors gave an arbitrary diagnosis of ""mild unilateral vestibular deficit"". In conclusion, patients admitted to hospital under clinical impression of vestibular neuritis may have various final diagnoses, and ""mild unilateral vestibular deficit"" was the most common final diagnosis among patients who did not meet the diagnostic criteria of vestibular neuritis.
Keywords: Benign paroxysmal positional vertigo; Caloric test; Ménière’s disease; Vertigo; Vestibular neuritis.",doi: 10.1016/j.jocn.2017.02.064.
9,10,J Surg Case Rep,"Y. Aladham, O. Ahmed, S. A. S. Hassan and E. Francis-Khoury Traumatic superior semicircular canal dehiscence syndrome: case report and literature review 2021",PubMed,0.0,1.0,Population, Superior SSC dehissance,,0.0,Traumatic superior semicircular canal dehiscence syndrome: case report and literature review,"Abstract
Superior semicircular canal dehiscence (SSCD) syndrome was first reported in 1998 by Minor et al. and comprises a spectrum of auditory and vestibular symptoms as a result of 'mobile third window' mechanism. The aetiology of SSCD is debated, but persistent infantile microstructure of the temporal bone was suggested. However, some authors related a 'second event', such as closed head trauma, temporal bone fracture and sudden increase in the intracranial pressure to the precipitation of its symptoms. In this article, we report a patient with a closed head trauma who developed unilateral auditory symptoms. High-resolution computed tomography images were obtained and confirmed bilateral SSCD with the normal middle ear structure. The patient was provided with a monaural hearing aid. Literature was searched for similar case reports or series where head trauma precipitated the symptoms of SSCD in anatomically susceptible individuals.
Keywords: SSCD; head trauma; traumatic superior semicircular canal dehiscence.",doi: 10.1093/jscr/rjaa592.
10,11,Acta Otorhinolaryngol Ital,"A. Albera, M. Boldreghini, A. Canale, R. Albera and C. F. Gervasio Vertigo returning to the sitting position after the Semont manoeuvre. Is it a prognostic symptom? 2018",PubMed,1.0,,,,,0.0,Vertigo returning to the sitting position after the Semont manoeuvre. Is it a prognostic symptom?,"Abstract in English, Italian
Benign paroxysmal positional vertigo (BPPV) is a frequent benign vestibular condition usually managed with particle repositioning manoeuvres, such as Semont manoeuvre (SM). Since few authors have described prognostic aspects of liberatory manoeuvres, the purpose of the present study was to investigate the possibility of considering vertigo in the final sitting position of the SM as a prognostic symptom in the outcome of posterior BPPV. One hundred and thirteen patients with diagnosis of unilateral posterior BPPV were taking into account in our retrospective cohort study: 41 men and 72 women, aged 22 to 85 years. All were submitted to one repositioning SM and afterwards controlled 3 to 5 days later by means of an additional Dix-Hallpike manoeuvre. The main outcomes investigated were the occurrence of Ny and vertigo in the different phases of the SM, as well as their characteristics in relation to outcome of the disease. Among all patients, 75 (66%) presented both orthotropic Ny and vertigo in the second SM position and 72% obtained a complete resolution of the disease after the liberatory manoeuvre. Contrarily, 17 subjects (15%) manifested vertigo in the final sitting position of the SM and among these, only 7 (41%) completely recovered from BPPV. According to our data, in case of sudden vertigo returning to the final sitting position of the SM, the failure rate of the liberatory manoeuvre was higher, even though not statistically significant: therefore, it can be considered as a negative prognostic factor of posterior BPPV after SM.
Keywords: BPPV; BPPV outcomes; Positional vertigo; Semont manoeuvre •Semont prognostic factors.",doi: 10.14639/0392-100X-1815.
11,12,Acta Otolaryngol,P. L. Albernaz Unusual cases of delayed endolymphatic hydrops 2007,PubMed,1.0,,,,4 of the patients were unilaterally delayed endolymphatic hydrops ,0.0,Unusual cases of delayed endolymphatic hydrops,"Abstract
The objective of this report is to emphasize the clinical features of delayed endolymphatic hydrops in comparison with Ménière's disease. Four cases were selected from a series of 16 examined between the years 1993 and 2005, due to their unusual characteristics. A short clinical history and significant tests are presented for each of the four cases. The cases of delayed endolymphatic hydrops discussed in this article suggest that hydrops is the most important underlying pathology that causes the hearing loss and the vestibular symptoms both in the better ear and in the ear with severe hearing loss. They also suggest that this condition probably occurs in patients with congenitally sensitive ears that make them prone to the development of the late hydrops.",doi: 10.1080/00016480601113729.
12,13,J Vet Intern Med,"M. Aleman, M. Spriet, D. C. Williams and J. E. Nieto Neurologic Deficits Including Auditory Loss and Recovery of Function in Horses with Temporohyoid Osteoarthropathy 2016",PubMed,0.0,1.0,Population,Animal study,,0.0,Neurologic Deficits Including Auditory Loss and Recovery of Function in Horses with Temporohyoid Osteoarthropathy,"Abstract
Background: Auditory loss is a common deficit in horses with temporohyoid osteoarthropathy (THO), however, recovery of function is unknown.
Hypothesis/objectives: To investigate neurologic function with emphasis in audition in horses with THO after treatment. To describe anatomical alterations of the petrous temporal bone that might result in auditory loss.
Animals: Twenty-four horses with a clinical diagnosis of THO.
Methods: Prospective study. A brainstem auditory evoked response (BAER) study was done as part of the criteria for inclusion in horses with a clinical diagnosis of THO from the years of 2005 to 2014. Physical and neurologic status and BAER findings were recorded. Brainstem auditory evoked response variables were compared by using Wilcoxon sign test. Fisher's exact test was also used. Significance was set at P < 0.05.
Results: The most common signs included auditory loss (100% of horses), vestibular and facial nerve dysfunction (83%), and exposure ulcerative keratitis (71%). Concurrent left laryngeal hemiparesis was observed in 61% of horses through endoscopy. Auditory dysfunction was bilateral in 50% of the cases (complete and partial), and unilateral affecting more commonly the right ear (R = 8, L = 4). Short- and long-term follow-up revealed persistent auditory loss in all horses based on abnormal response to sound, and further confirmed through a BAER in 8 horses.
Conclusions and clinical importance: Auditory dysfunction appears to be a permanent neurologic deficit in horses diagnosed with THO despite overall neurologic improvement.
Keywords: Brainstem auditory evoked response; Deafness; Equine; Hearing.",doi: 10.1111/jvim.13654.
13,14,Gait Posture,"J. H. Allum, A. L. Adkin, M. G. Carpenter, M. Held-Ziolkowska, F. Honegger and K. Pierchala Trunk sway measures of postural stability during clinical balance tests: effects of a unilateral vestibular deficit 2001",PubMed,0.0,1.0,Population,Central dizziness,,0.0,Trunk sway measures of postural stability during clinical balance tests: effects of a unilateral vestibular deficit,"Abstract
This research evaluated whether quantified measures of trunk sway during clinical balance tasks are sensitive enough to identify a balance disorder and possibly specific enough to distinguish between different types of balance disorder. We used a light-weight, easy to attach, body-worn apparatus to measure trunk angular velocities in the roll and pitch planes during a number of stance and gait tasks similar to those of the Tinetti and CTSIB protocols. The tasks included standing on one or two legs both eyes-open and closed on a foam or firm support-surface, walking eight tandem steps, walking five steps while horizontally rotating or pitching the head, walking over low barriers, and up and down stairs. Tasks were sought, which when quantified might provide optimal screening for a balance pathology by comparing the test results of 15 patients with a well defined acute balance deficit (sudden unilateral vestibular loss (UVL)) with those of 26 patients with less severe chronic balance problems caused by a cerebellar-pontine-angle-tumour (CPAT) prior to surgery, and with those of 88 age- and sex-matched healthy subjects. The UVL patients demonstrated significantly greater than normal trunk sway for all two-legged stance tasks especially those performed with eyes closed on a foam support surface. Sway was also greater for walking while rotating or pitching the head, and for walking eight tandem steps on a foam support surface. Interestingly, the patients could perform gait tasks such as walking over barriers almost normally, however took longer. CPAT patients had trunk sway values intermediate between those of UVL patients and normals. A combination of trunk sway amplitude measurements (roll angle and pitch velocity) from the stance tasks of standing on two legs eyes closed on a foam support, standing eyes open on a normal support surface, as well as from the gait tasks of walking five steps while rotating, or pitching the head, and walking eight tandem steps on foam permitted a 97% correct recognition of a normal subject and a 93% correct recognition of an acute vestibular loss patient. Just over 50% of CPAT patients could be classified into a group with intermediate balance deficits, the rest were classified as normal. Our results indicate that measuring trunk sway in the form of roll angle and pitch angular velocity during five simple clinical tests of equilibrium, four of which probe both stance and gait control under more difficult sensory conditions, can reliably and quantitatively distinguish patients with a well defined balance deficit from healthy controls. Further, refinement of these trunk sway measuring techniques may be required if functions such as preliminary diagnosis rather than screening are to be attempted.",doi: 10.1016/s0966-6362(01)00132-1.
14,15,Annu Int Conf IEEE Eng Med Biol Soc,"J. H. Allum, M. G. Carpenter, B. C. Horslen, J. R. Davis, F. Honegger, K. S. Tang and P. Kessler Improving impaired balance function: real-time versus carry-over effects of prosthetic feedback 2011",Pubmed,1.0,,,,,0.0,Improving impaired balance function: real-time versus carry-over effects of prosthetic feedback,"Abstract
This study investigated whether training with realtime prosthetic biofeedback (BF) of trunk sway induces a carry-over improvement in balance control once BF is removed. 12 healthy older adults and 7 uncompensated unilateral vestibular loss patients were tested. All participants performed a battery of 14 balance and gait tasks (pre-test) upon their initial lab visit during which trunk angular sway was measured at L1-3. They then received balance BF training on a subset of 7 tasks, three times per week, for two consecutive weeks. BF was provided using a multi-modal biofeedback system with graded vibrotactile, auditory, and visual cues in relation to subject-specific angular displacement thresholds. Performance on the battery of the 14 balance and gait tasks (without BF) was re-assessed immediately after the 2 week training period, as well as 1 week later to examine BF carry-over effects. Significant reductions in trunk angular displacement were observed with the real-time BF, compared to the pre-test trials. The effects of BF persisted when BF was removed immediately after the final training session. BF carry-over effects were less evident at one week post-training. This evidence supports the potential short-term effects of BF training in a limited number of tasks after the BF is removed in healthy elderly subjects and those with vestibular loss. However, the prospect for longer term (>1 week) effects of prosthetic training on balance control remains currently unknown.",doi: 10.1109/IEMBS.2011.6090309.
